Virus Strain,Vaccine Element,HLA,Immunogenicity Score,Binding,Error Rate
Zika Virus,vaccine_element_13,HLA-A*44,0.57,1593.0,0.32
Zika Virus,vaccine_element_13,HLA-B*82,0.75,1804.0,0.06
Zika Virus,vaccine_element_13,HLA-B*72,0.71,1119.0,0.36
Zika Virus,vaccine_element_13,HLA-B*52,0.97,616.0,0.34
Zika Virus,vaccine_element_13,HLA-A*54,0.55,399.0,0.32
Zika Virus,vaccine_element_13,HLA-B*60,0.63,1070.0,0.64
Zika Virus,vaccine_element_13,HLA-B*93,0.72,1644.0,0.36
Zika Virus,vaccine_element_13,HLA-B*32,0.39,938.0,0.33
Zika Virus,vaccine_element_13,HLA-A*12,0.56,587.0,0.44
Zika Virus,vaccine_element_13,HLA-B*54,0.38,1828.0,0.41
Zika Virus,vaccine_element_14,HLA-B*40,0.96,1486.0,0.48
Zika Virus,vaccine_element_14,HLA-B*49,0.59,433.0,0.36
Zika Virus,vaccine_element_14,HLA-B*18,0.98,1174.0,0.5
Zika Virus,vaccine_element_14,HLA-A*19,0.75,1014.0,0.19
Zika Virus,vaccine_element_14,HLA-A*40,0.72,621.0,0.32
Zika Virus,vaccine_element_14,HLA-B*33,0.47,1742.0,0.6
Zika Virus,vaccine_element_14,HLA-A*26,0.82,1381.0,0.17
Zika Virus,vaccine_element_14,HLA-B*12,0.75,967.0,0.66
Zika Virus,vaccine_element_14,HLA-B*97,0.82,623.0,0.29
Zika Virus,vaccine_element_14,HLA-B*09,0.61,1303.0,0.37
Zika Virus,vaccine_element_14,HLA-B*89,0.41,962.0,0.03
Zika Virus,vaccine_element_14,HLA-A*45,0.93,1656.0,0.46
Zika Virus,vaccine_element_14,HLA-A*58,0.76,932.0,0.1
Zika Virus,vaccine_element_14,HLA-A*81,0.53,1230.0,0.1
Zika Virus,vaccine_element_14,HLA-A*27,0.5,463.0,0.11
Zika Virus,vaccine_element_14,HLA-B*50,0.66,1210.0,0.63
Zika Virus,vaccine_element_14,HLA-A*95,0.57,1101.0,0.41
Zika Virus,vaccine_element_14,HLA-B*81,0.95,1452.0,0.55
Zika Virus,vaccine_element_14,HLA-B*29,0.85,1327.0,0.19
Zika Virus,vaccine_element_14,HLA-B*51,0.97,1772.0,0.56
Zika Virus,vaccine_element_14,HLA-A*44,0.81,1642.0,0.67
Zika Virus,vaccine_element_14,HLA-B*82,0.82,1126.0,0.37
Zika Virus,vaccine_element_14,HLA-B*72,0.35,844.0,0.41
Zika Virus,vaccine_element_14,HLA-B*52,0.77,851.0,0.15
Zika Virus,vaccine_element_14,HLA-A*54,0.44,1225.0,0.05
Zika Virus,vaccine_element_14,HLA-B*60,0.8,1760.0,0.18
Zika Virus,vaccine_element_14,HLA-B*93,0.91,391.0,0.29
Zika Virus,vaccine_element_14,HLA-B*32,0.46,945.0,0.33
Zika Virus,vaccine_element_14,HLA-A*12,0.38,934.0,0.38
Zika Virus,vaccine_element_14,HLA-B*54,0.38,1244.0,0.36
Zika Virus,vaccine_element_15,HLA-B*40,0.55,1805.0,0.43
Zika Virus,vaccine_element_15,HLA-B*49,0.43,1271.0,0.59
Zika Virus,vaccine_element_15,HLA-B*18,0.64,1665.0,0.36
Zika Virus,vaccine_element_15,HLA-A*19,0.35,534.0,0.19
Zika Virus,vaccine_element_15,HLA-A*40,0.36,1613.0,0.32
Zika Virus,vaccine_element_15,HLA-B*33,0.58,686.0,0.23
Zika Virus,vaccine_element_15,HLA-A*26,0.8,1963.0,0.2
Zika Virus,vaccine_element_15,HLA-B*12,0.73,1366.0,0.18
Zika Virus,vaccine_element_15,HLA-B*97,0.37,1264.0,0.26
Zika Virus,vaccine_element_15,HLA-B*09,0.59,447.0,0.44
Zika Virus,vaccine_element_15,HLA-B*89,0.81,910.0,0.24
Zika Virus,vaccine_element_15,HLA-A*45,0.64,1734.0,0.38
Zika Virus,vaccine_element_15,HLA-A*58,0.34,1918.0,0.19
Zika Virus,vaccine_element_15,HLA-A*81,0.55,734.0,0.48
Zika Virus,vaccine_element_15,HLA-A*27,0.56,1959.0,0.18
Zika Virus,vaccine_element_15,HLA-B*50,0.91,560.0,0.45
Zika Virus,vaccine_element_15,HLA-A*95,0.33,1884.0,0.23
Zika Virus,vaccine_element_15,HLA-B*81,0.57,1290.0,0.44
Zika Virus,vaccine_element_15,HLA-B*29,0.89,1250.0,0.27
Zika Virus,vaccine_element_15,HLA-B*51,0.5,874.0,0.48
Zika Virus,vaccine_element_15,HLA-A*44,0.71,977.0,0.06
Zika Virus,vaccine_element_15,HLA-B*82,0.52,919.0,0.21
Zika Virus,vaccine_element_15,HLA-B*72,0.63,796.0,0.44
Zika Virus,vaccine_element_15,HLA-B*52,0.51,1524.0,0.57
Zika Virus,vaccine_element_15,HLA-A*54,0.46,1498.0,0.62
Zika Virus,vaccine_element_15,HLA-B*60,0.93,1479.0,0.67
Zika Virus,vaccine_element_15,HLA-B*93,0.54,1337.0,0.43
Zika Virus,vaccine_element_15,HLA-B*32,1.0,512.0,0.33
Zika Virus,vaccine_element_15,HLA-A*12,0.47,676.0,0.58
Zika Virus,vaccine_element_15,HLA-B*54,0.93,1597.0,0.15
Zika Virus,vaccine_element_16,HLA-B*40,0.81,1356.0,0.52
Zika Virus,vaccine_element_16,HLA-B*49,0.66,743.0,0.41
Zika Virus,vaccine_element_16,HLA-B*18,0.77,573.0,0.14
Zika Virus,vaccine_element_16,HLA-A*19,0.94,354.0,0.28
Zika Virus,vaccine_element_16,HLA-A*40,0.69,618.0,0.39
Zika Virus,vaccine_element_16,HLA-B*33,0.94,949.0,0.29
Zika Virus,vaccine_element_16,HLA-A*26,0.95,1204.0,0.15
Zika Virus,vaccine_element_16,HLA-B*12,0.47,581.0,0.32
Zika Virus,vaccine_element_16,HLA-B*97,0.35,1590.0,0.6
Zika Virus,vaccine_element_16,HLA-B*09,0.57,1439.0,0.17
Zika Virus,vaccine_element_16,HLA-B*89,0.69,546.0,0.63
Zika Virus,vaccine_element_16,HLA-A*45,0.63,1691.0,0.15
Zika Virus,vaccine_element_16,HLA-A*58,0.48,1487.0,0.44
Zika Virus,vaccine_element_16,HLA-A*81,0.87,344.0,0.16
Zika Virus,vaccine_element_16,HLA-A*27,0.58,1240.0,0.63
Zika Virus,vaccine_element_16,HLA-B*50,0.41,1274.0,0.3
Zika Virus,vaccine_element_16,HLA-A*95,0.89,1806.0,0.45
Zika Virus,vaccine_element_16,HLA-B*81,0.79,1088.0,0.51
Zika Virus,vaccine_element_16,HLA-B*29,0.4,952.0,0.55
Zika Virus,vaccine_element_16,HLA-B*51,0.7,611.0,0.37
Zika Virus,vaccine_element_16,HLA-A*44,0.7,523.0,0.21
Zika Virus,vaccine_element_16,HLA-B*82,0.93,1450.0,0.25
Zika Virus,vaccine_element_16,HLA-B*72,0.88,932.0,0.14
Zika Virus,vaccine_element_16,HLA-B*52,0.51,948.0,0.54
Zika Virus,vaccine_element_16,HLA-A*54,0.58,479.0,0.1
Zika Virus,vaccine_element_16,HLA-B*60,0.67,961.0,0.08
Zika Virus,vaccine_element_16,HLA-B*93,0.81,706.0,0.44
Zika Virus,vaccine_element_16,HLA-B*32,0.41,1197.0,0.4
Zika Virus,vaccine_element_16,HLA-A*12,0.34,678.0,0.29
Zika Virus,vaccine_element_16,HLA-B*54,0.68,338.0,0.31
Zika Virus,vaccine_element_17,HLA-B*40,0.51,1396.0,0.66
Zika Virus,vaccine_element_17,HLA-B*49,0.81,1472.0,0.53
Zika Virus,vaccine_element_17,HLA-B*18,0.93,773.0,0.31
Zika Virus,vaccine_element_17,HLA-A*19,0.46,1237.0,0.08
Zika Virus,vaccine_element_17,HLA-A*40,0.96,829.0,0.41
Zika Virus,vaccine_element_17,HLA-B*33,0.49,1568.0,0.35
Zika Virus,vaccine_element_17,HLA-A*26,0.66,907.0,0.57
Zika Virus,vaccine_element_17,HLA-B*12,0.82,1988.0,0.52
Zika Virus,vaccine_element_17,HLA-B*97,0.95,1150.0,0.14
Zika Virus,vaccine_element_17,HLA-B*09,0.9,348.0,0.66
Zika Virus,vaccine_element_17,HLA-B*89,0.52,1646.0,0.42
Zika Virus,vaccine_element_17,HLA-A*45,0.52,1159.0,0.21
Zika Virus,vaccine_element_17,HLA-A*58,0.99,1378.0,0.48
Zika Virus,vaccine_element_17,HLA-A*81,0.49,897.0,0.56
Zika Virus,vaccine_element_17,HLA-A*27,0.43,1605.0,0.54
Zika Virus,vaccine_element_17,HLA-B*50,0.55,723.0,0.44
Zika Virus,vaccine_element_17,HLA-A*95,0.87,1660.0,0.42
Zika Virus,vaccine_element_17,HLA-B*81,0.67,1632.0,0.61
Zika Virus,vaccine_element_17,HLA-B*29,0.8,984.0,0.44
Zika Virus,vaccine_element_17,HLA-B*51,1.0,1585.0,0.03
Zika Virus,vaccine_element_17,HLA-A*44,0.95,1927.0,0.41
Zika Virus,vaccine_element_17,HLA-B*82,0.47,556.0,0.3
Zika Virus,vaccine_element_17,HLA-B*72,0.95,1237.0,0.34
Zika Virus,vaccine_element_17,HLA-B*52,0.34,572.0,0.07
Zika Virus,vaccine_element_17,HLA-A*54,0.46,337.0,0.18
Zika Virus,vaccine_element_17,HLA-B*60,0.88,618.0,0.64
Zika Virus,vaccine_element_17,HLA-B*93,0.34,1431.0,0.15
Zika Virus,vaccine_element_17,HLA-B*32,0.36,1931.0,0.67
Zika Virus,vaccine_element_17,HLA-A*12,0.69,875.0,0.65
Zika Virus,vaccine_element_17,HLA-B*54,0.57,467.0,0.44
Zika Virus,vaccine_element_18,HLA-B*40,0.78,1483.0,0.53
Zika Virus,vaccine_element_18,HLA-B*49,0.99,1555.0,0.48
Zika Virus,vaccine_element_18,HLA-B*18,0.7,864.0,0.22
Zika Virus,vaccine_element_18,HLA-A*19,0.81,620.0,0.61
Zika Virus,vaccine_element_18,HLA-A*40,0.42,398.0,0.23
Zika Virus,vaccine_element_18,HLA-B*33,0.37,1809.0,0.34
Zika Virus,vaccine_element_18,HLA-A*26,0.86,1800.0,0.51
Zika Virus,vaccine_element_18,HLA-B*12,0.52,1820.0,0.48
Zika Virus,vaccine_element_18,HLA-B*97,0.94,1095.0,0.42
Zika Virus,vaccine_element_18,HLA-B*09,0.96,775.0,0.25
Zika Virus,vaccine_element_18,HLA-B*89,0.43,1512.0,0.33
Zika Virus,vaccine_element_18,HLA-A*45,0.42,1260.0,0.23
Zika Virus,vaccine_element_18,HLA-A*58,0.68,397.0,0.49
Zika Virus,vaccine_element_18,HLA-A*81,0.46,1564.0,0.26
Zika Virus,vaccine_element_18,HLA-A*27,0.67,1964.0,0.31
Zika Virus,vaccine_element_18,HLA-B*50,0.51,956.0,0.65
Zika Virus,vaccine_element_18,HLA-A*95,0.64,862.0,0.19
Zika Virus,vaccine_element_18,HLA-B*81,0.86,1522.0,0.13
Zika Virus,vaccine_element_18,HLA-B*29,0.55,590.0,0.38
Zika Virus,vaccine_element_18,HLA-B*51,0.65,470.0,0.35
Zika Virus,vaccine_element_18,HLA-A*44,0.73,904.0,0.1
Zika Virus,vaccine_element_18,HLA-B*82,0.71,1057.0,0.43
Zika Virus,vaccine_element_18,HLA-B*72,0.61,999.0,0.52
Zika Virus,vaccine_element_18,HLA-B*52,0.89,984.0,0.14
Zika Virus,vaccine_element_18,HLA-A*54,0.75,1785.0,0.44
Zika Virus,vaccine_element_18,HLA-B*60,0.34,1834.0,0.35
Zika Virus,vaccine_element_18,HLA-B*93,0.67,1264.0,0.33
Zika Virus,vaccine_element_18,HLA-B*32,0.94,624.0,0.6
Zika Virus,vaccine_element_18,HLA-A*12,0.7,1771.0,0.22
Zika Virus,vaccine_element_18,HLA-B*54,0.35,1160.0,0.22
Zika Virus,vaccine_element_19,HLA-B*40,0.82,602.0,0.08
Zika Virus,vaccine_element_19,HLA-B*49,0.58,415.0,0.09
Zika Virus,vaccine_element_19,HLA-B*18,0.44,510.0,0.08
Zika Virus,vaccine_element_19,HLA-A*19,0.45,630.0,0.19
Zika Virus,vaccine_element_19,HLA-A*40,0.5,818.0,0.3
Zika Virus,vaccine_element_19,HLA-B*33,0.62,539.0,0.07
Zika Virus,vaccine_element_19,HLA-A*26,0.56,1220.0,0.61
Zika Virus,vaccine_element_19,HLA-B*12,0.51,1798.0,0.05
Zika Virus,vaccine_element_19,HLA-B*97,0.35,519.0,0.08
Zika Virus,vaccine_element_19,HLA-B*09,0.44,567.0,0.43
Zika Virus,vaccine_element_19,HLA-B*89,0.73,1814.0,0.66
Zika Virus,vaccine_element_19,HLA-A*45,0.38,815.0,0.22
Zika Virus,vaccine_element_19,HLA-A*58,0.35,704.0,0.24
Zika Virus,vaccine_element_19,HLA-A*81,0.7,819.0,0.43
Zika Virus,vaccine_element_19,HLA-A*27,0.55,358.0,0.25
Zika Virus,vaccine_element_19,HLA-B*50,0.47,1753.0,0.21
Zika Virus,vaccine_element_19,HLA-A*95,0.61,1332.0,0.15
Zika Virus,vaccine_element_19,HLA-B*81,0.96,1952.0,0.31
Zika Virus,vaccine_element_19,HLA-B*29,0.72,1964.0,0.65
Zika Virus,vaccine_element_19,HLA-B*51,0.71,1669.0,0.57
Zika Virus,vaccine_element_19,HLA-A*44,0.86,1723.0,0.55
Zika Virus,vaccine_element_19,HLA-B*82,0.7,1575.0,0.57
Zika Virus,vaccine_element_19,HLA-B*72,0.93,1231.0,0.05
Zika Virus,vaccine_element_19,HLA-B*52,0.81,1621.0,0.65
Zika Virus,vaccine_element_19,HLA-A*54,0.82,1825.0,0.31
Zika Virus,vaccine_element_19,HLA-B*60,0.48,1499.0,0.38
Zika Virus,vaccine_element_19,HLA-B*93,0.51,1951.0,0.06
Zika Virus,vaccine_element_19,HLA-B*32,0.56,1190.0,0.45
Zika Virus,vaccine_element_19,HLA-A*12,0.51,742.0,0.41
Zika Virus,vaccine_element_19,HLA-B*54,0.85,1905.0,0.26
Zika Virus,vaccine_element_20,HLA-B*40,0.7,1602.0,0.51
Zika Virus,vaccine_element_20,HLA-B*49,0.82,1822.0,0.08
Zika Virus,vaccine_element_20,HLA-B*18,0.78,944.0,0.29
Zika Virus,vaccine_element_20,HLA-A*19,0.59,1753.0,0.19
Zika Virus,vaccine_element_20,HLA-A*40,0.98,1648.0,0.26
Zika Virus,vaccine_element_20,HLA-B*33,0.4,1702.0,0.27
Zika Virus,vaccine_element_20,HLA-A*26,0.65,768.0,0.19
Zika Virus,vaccine_element_20,HLA-B*12,0.45,802.0,0.38
Zika Virus,vaccine_element_20,HLA-B*97,0.55,1619.0,0.08
Zika Virus,vaccine_element_20,HLA-B*09,0.37,1196.0,0.37
Zika Virus,vaccine_element_20,HLA-B*89,0.85,804.0,0.16
Zika Virus,vaccine_element_20,HLA-A*45,0.63,1437.0,0.49
Zika Virus,vaccine_element_20,HLA-A*58,0.8,1862.0,0.21
Zika Virus,vaccine_element_20,HLA-A*81,0.33,352.0,0.55
Zika Virus,vaccine_element_20,HLA-A*27,0.67,473.0,0.37
Zika Virus,vaccine_element_20,HLA-B*50,0.46,1055.0,0.61
Zika Virus,vaccine_element_20,HLA-A*95,0.64,1740.0,0.18
Zika Virus,vaccine_element_20,HLA-B*81,0.9,875.0,0.25
Zika Virus,vaccine_element_20,HLA-B*29,0.76,1643.0,0.61
Zika Virus,vaccine_element_20,HLA-B*51,0.44,1436.0,0.1
Zika Virus,vaccine_element_20,HLA-A*44,0.35,527.0,0.06
Zika Virus,vaccine_element_20,HLA-B*82,0.79,1804.0,0.25
Zika Virus,vaccine_element_20,HLA-B*72,0.36,1622.0,0.1
Zika Virus,vaccine_element_20,HLA-B*52,0.62,1328.0,0.18
Zika Virus,vaccine_element_20,HLA-A*54,0.86,1132.0,0.41
Zika Virus,vaccine_element_20,HLA-B*60,0.65,1731.0,0.61
Zika Virus,vaccine_element_20,HLA-B*93,0.51,1469.0,0.67
Zika Virus,vaccine_element_20,HLA-B*32,0.98,1541.0,0.14
Zika Virus,vaccine_element_20,HLA-A*12,0.51,387.0,0.18
Zika Virus,vaccine_element_20,HLA-B*54,0.43,1719.0,0.61
Zika Virus,vaccine_element_21,HLA-B*40,0.99,1437.0,0.31
Zika Virus,vaccine_element_21,HLA-B*49,0.44,999.0,0.4
Zika Virus,vaccine_element_21,HLA-B*18,0.32,1205.0,0.24
Zika Virus,vaccine_element_21,HLA-A*19,0.42,953.0,0.6
Zika Virus,vaccine_element_21,HLA-A*40,0.42,1073.0,0.2
Zika Virus,vaccine_element_21,HLA-B*33,0.82,949.0,0.31
Zika Virus,vaccine_element_21,HLA-A*26,0.96,1607.0,0.5
Zika Virus,vaccine_element_21,HLA-B*12,0.8,1954.0,0.19
Zika Virus,vaccine_element_21,HLA-B*97,0.64,496.0,0.65
Zika Virus,vaccine_element_21,HLA-B*09,0.42,1782.0,0.44
Zika Virus,vaccine_element_21,HLA-B*89,0.68,1644.0,0.29
Zika Virus,vaccine_element_21,HLA-A*45,0.64,1247.0,0.66
Zika Virus,vaccine_element_21,HLA-A*58,0.76,1251.0,0.16
Zika Virus,vaccine_element_21,HLA-A*81,0.37,772.0,0.57
Zika Virus,vaccine_element_21,HLA-A*27,0.95,1050.0,0.63
Zika Virus,vaccine_element_21,HLA-B*50,0.69,1226.0,0.65
Zika Virus,vaccine_element_21,HLA-A*95,0.63,1222.0,0.44
Zika Virus,vaccine_element_21,HLA-B*81,0.38,919.0,0.26
Zika Virus,vaccine_element_21,HLA-B*29,0.67,1534.0,0.58
Zika Virus,vaccine_element_21,HLA-B*51,0.63,1751.0,0.2
Zika Virus,vaccine_element_21,HLA-A*44,0.8,1835.0,0.55
Zika Virus,vaccine_element_21,HLA-B*82,0.51,329.0,0.47
Zika Virus,vaccine_element_21,HLA-B*72,0.82,1225.0,0.33
Zika Virus,vaccine_element_21,HLA-B*52,0.83,877.0,0.34
Zika Virus,vaccine_element_21,HLA-A*54,0.79,1997.0,0.41
Zika Virus,vaccine_element_21,HLA-B*60,0.58,1098.0,0.27
Zika Virus,vaccine_element_21,HLA-B*93,0.92,1616.0,0.23
Zika Virus,vaccine_element_21,HLA-B*32,0.7,1478.0,0.1
Zika Virus,vaccine_element_21,HLA-A*12,0.69,1392.0,0.12
Zika Virus,vaccine_element_21,HLA-B*54,0.52,1107.0,0.51
Zika Virus,vaccine_element_22,HLA-B*40,0.94,1455.0,0.66
Zika Virus,vaccine_element_22,HLA-B*49,0.73,964.0,0.32
Zika Virus,vaccine_element_22,HLA-B*18,0.69,1716.0,0.46
Zika Virus,vaccine_element_22,HLA-A*19,0.95,385.0,0.43
Zika Virus,vaccine_element_22,HLA-A*40,0.65,628.0,0.53
Zika Virus,vaccine_element_22,HLA-B*33,0.87,564.0,0.08
Zika Virus,vaccine_element_22,HLA-A*26,0.42,327.0,0.56
Zika Virus,vaccine_element_22,HLA-B*12,0.97,1609.0,0.27
Zika Virus,vaccine_element_22,HLA-B*97,0.49,1498.0,0.15
Zika Virus,vaccine_element_22,HLA-B*09,0.72,748.0,0.15
Zika Virus,vaccine_element_22,HLA-B*89,0.84,1808.0,0.14
Zika Virus,vaccine_element_22,HLA-A*45,0.52,1688.0,0.31
Zika Virus,vaccine_element_22,HLA-A*58,0.57,453.0,0.58
Zika Virus,vaccine_element_22,HLA-A*81,0.48,828.0,0.5
Zika Virus,vaccine_element_22,HLA-A*27,0.73,302.0,0.11
Zika Virus,vaccine_element_22,HLA-B*50,0.41,1698.0,0.05
Zika Virus,vaccine_element_22,HLA-A*95,0.51,982.0,0.08
Zika Virus,vaccine_element_22,HLA-B*81,0.49,1996.0,0.45
Zika Virus,vaccine_element_22,HLA-B*29,0.73,1968.0,0.45
Zika Virus,vaccine_element_22,HLA-B*51,0.92,1793.0,0.42
Zika Virus,vaccine_element_22,HLA-A*44,0.43,1885.0,0.28
Zika Virus,vaccine_element_22,HLA-B*82,0.44,1651.0,0.43
Zika Virus,vaccine_element_22,HLA-B*72,0.47,1422.0,0.34
Zika Virus,vaccine_element_22,HLA-B*52,0.64,1348.0,0.42
Zika Virus,vaccine_element_22,HLA-A*54,0.49,725.0,0.63
Zika Virus,vaccine_element_22,HLA-B*60,0.8,1611.0,0.32
Zika Virus,vaccine_element_22,HLA-B*93,0.38,571.0,0.59
Zika Virus,vaccine_element_22,HLA-B*32,0.5,1919.0,0.55
Zika Virus,vaccine_element_22,HLA-A*12,0.46,1963.0,0.3
Zika Virus,vaccine_element_22,HLA-B*54,0.46,743.0,0.23
Zika Virus,vaccine_element_23,HLA-B*40,0.91,1886.0,0.59
Zika Virus,vaccine_element_23,HLA-B*49,0.99,1730.0,0.59
Zika Virus,vaccine_element_23,HLA-B*18,0.96,1987.0,0.46
Zika Virus,vaccine_element_23,HLA-A*19,0.98,416.0,0.08
Zika Virus,vaccine_element_23,HLA-A*40,0.34,914.0,0.12
Zika Virus,vaccine_element_23,HLA-B*33,0.42,1278.0,0.04
Zika Virus,vaccine_element_23,HLA-A*26,0.81,1112.0,0.61
Zika Virus,vaccine_element_23,HLA-B*12,0.53,907.0,0.39
Zika Virus,vaccine_element_23,HLA-B*97,0.47,976.0,0.1
Zika Virus,vaccine_element_23,HLA-B*09,0.65,1200.0,0.25
Zika Virus,vaccine_element_23,HLA-B*89,0.54,1459.0,0.66
Zika Virus,vaccine_element_23,HLA-A*45,0.76,721.0,0.61
Zika Virus,vaccine_element_23,HLA-A*58,0.54,572.0,0.41
Zika Virus,vaccine_element_23,HLA-A*81,0.58,368.0,0.46
Zika Virus,vaccine_element_23,HLA-A*27,0.44,514.0,0.24
Zika Virus,vaccine_element_23,HLA-B*50,0.36,614.0,0.24
Zika Virus,vaccine_element_23,HLA-A*95,0.9,1575.0,0.52
Zika Virus,vaccine_element_23,HLA-B*81,0.72,1126.0,0.18
Zika Virus,vaccine_element_23,HLA-B*29,0.87,436.0,0.3
Zika Virus,vaccine_element_23,HLA-B*51,0.37,1052.0,0.63
Zika Virus,vaccine_element_23,HLA-A*44,0.98,1584.0,0.04
Zika Virus,vaccine_element_23,HLA-B*82,0.43,1090.0,0.37
Zika Virus,vaccine_element_23,HLA-B*72,0.78,1259.0,0.37
Zika Virus,vaccine_element_23,HLA-B*52,0.48,1257.0,0.5
Zika Virus,vaccine_element_23,HLA-A*54,0.88,677.0,0.54
Zika Virus,vaccine_element_23,HLA-B*60,0.85,1323.0,0.5
Zika Virus,vaccine_element_23,HLA-B*93,0.8,1089.0,0.63
Zika Virus,vaccine_element_23,HLA-B*32,0.45,568.0,0.16
Zika Virus,vaccine_element_23,HLA-A*12,0.48,1388.0,0.17
Zika Virus,vaccine_element_23,HLA-B*54,0.83,444.0,0.58
Zika Virus,vaccine_element_24,HLA-B*40,0.53,1334.0,0.05
Zika Virus,vaccine_element_24,HLA-B*49,0.34,636.0,0.55
Zika Virus,vaccine_element_24,HLA-B*18,0.91,1344.0,0.67
Zika Virus,vaccine_element_24,HLA-A*19,0.78,1782.0,0.17
Zika Virus,vaccine_element_24,HLA-A*40,0.97,1198.0,0.48
Zika Virus,vaccine_element_24,HLA-B*33,0.49,1659.0,0.28
Zika Virus,vaccine_element_24,HLA-A*26,0.82,1595.0,0.06
Zika Virus,vaccine_element_24,HLA-B*12,1.0,741.0,0.58
Zika Virus,vaccine_element_24,HLA-B*97,0.99,609.0,0.26
Zika Virus,vaccine_element_24,HLA-B*09,0.7,746.0,0.33
Zika Virus,vaccine_element_24,HLA-B*89,0.48,1358.0,0.33
Zika Virus,vaccine_element_24,HLA-A*45,0.88,1292.0,0.54
Zika Virus,vaccine_element_24,HLA-A*58,0.78,1932.0,0.46
Zika Virus,vaccine_element_24,HLA-A*81,0.84,1359.0,0.25
Zika Virus,vaccine_element_24,HLA-A*27,0.6,1522.0,0.41
Zika Virus,vaccine_element_24,HLA-B*50,0.72,497.0,0.07
Zika Virus,vaccine_element_24,HLA-A*95,0.53,470.0,0.21
Zika Virus,vaccine_element_24,HLA-B*81,0.59,1841.0,0.41
Zika Virus,vaccine_element_24,HLA-B*29,0.6,370.0,0.66
Zika Virus,vaccine_element_24,HLA-B*51,0.61,1659.0,0.48
Zika Virus,vaccine_element_24,HLA-A*44,0.73,917.0,0.63
Zika Virus,vaccine_element_24,HLA-B*82,0.4,529.0,0.11
Zika Virus,vaccine_element_24,HLA-B*72,0.86,1381.0,0.25
Zika Virus,vaccine_element_24,HLA-B*52,0.36,373.0,0.31
Zika Virus,vaccine_element_24,HLA-A*54,0.45,1155.0,0.04
Zika Virus,vaccine_element_24,HLA-B*60,0.42,1728.0,0.33
Zika Virus,vaccine_element_24,HLA-B*93,0.66,1635.0,0.53
Zika Virus,vaccine_element_24,HLA-B*32,0.71,1585.0,0.12
Zika Virus,vaccine_element_24,HLA-A*12,0.79,1338.0,0.38
Zika Virus,vaccine_element_24,HLA-B*54,0.75,811.0,0.34
Zika Virus,vaccine_element_25,HLA-B*40,0.98,715.0,0.53
Zika Virus,vaccine_element_25,HLA-B*49,0.99,1875.0,0.45
Zika Virus,vaccine_element_25,HLA-B*18,0.33,1422.0,0.56
Zika Virus,vaccine_element_25,HLA-A*19,0.37,312.0,0.15
Zika Virus,vaccine_element_25,HLA-A*40,0.35,1954.0,0.09
Zika Virus,vaccine_element_25,HLA-B*33,0.79,1744.0,0.56
Zika Virus,vaccine_element_25,HLA-A*26,0.98,945.0,0.06
Zika Virus,vaccine_element_25,HLA-B*12,0.4,1475.0,0.3
Zika Virus,vaccine_element_25,HLA-B*97,0.9,446.0,0.54
Zika Virus,vaccine_element_25,HLA-B*09,0.91,1686.0,0.28
Zika Virus,vaccine_element_25,HLA-B*89,0.77,1531.0,0.39
Zika Virus,vaccine_element_25,HLA-A*45,0.83,498.0,0.52
Zika Virus,vaccine_element_25,HLA-A*58,0.52,1166.0,0.31
Zika Virus,vaccine_element_25,HLA-A*81,0.8,1835.0,0.48
Zika Virus,vaccine_element_25,HLA-A*27,0.94,1001.0,0.63
Zika Virus,vaccine_element_25,HLA-B*50,0.59,1943.0,0.45
Zika Virus,vaccine_element_25,HLA-A*95,0.62,1358.0,0.1
Zika Virus,vaccine_element_25,HLA-B*81,0.89,803.0,0.52
Zika Virus,vaccine_element_25,HLA-B*29,0.7,353.0,0.15
Zika Virus,vaccine_element_25,HLA-B*51,0.6,1002.0,0.31
Zika Virus,vaccine_element_25,HLA-A*44,0.74,1620.0,0.63
Zika Virus,vaccine_element_25,HLA-B*82,0.83,1155.0,0.31
Zika Virus,vaccine_element_25,HLA-B*72,0.95,1947.0,0.16
Zika Virus,vaccine_element_25,HLA-B*52,0.58,902.0,0.39
Zika Virus,vaccine_element_25,HLA-A*54,0.52,1536.0,0.32
Zika Virus,vaccine_element_25,HLA-B*60,0.51,1559.0,0.15
Zika Virus,vaccine_element_25,HLA-B*93,0.51,1852.0,0.18
Zika Virus,vaccine_element_25,HLA-B*32,0.73,1604.0,0.36
Zika Virus,vaccine_element_25,HLA-A*12,0.58,1205.0,0.28
Zika Virus,vaccine_element_25,HLA-B*54,0.92,726.0,0.36
Zika Virus,vaccine_element_26,HLA-B*40,0.57,1195.0,0.04
Zika Virus,vaccine_element_26,HLA-B*49,0.98,510.0,0.14
Zika Virus,vaccine_element_26,HLA-B*18,0.85,530.0,0.07
Zika Virus,vaccine_element_26,HLA-A*19,0.51,1094.0,0.49
Zika Virus,vaccine_element_26,HLA-A*40,0.95,337.0,0.45
Zika Virus,vaccine_element_26,HLA-B*33,0.87,1937.0,0.41
Zika Virus,vaccine_element_26,HLA-A*26,0.61,1561.0,0.44
Zika Virus,vaccine_element_26,HLA-B*12,0.45,719.0,0.08
Zika Virus,vaccine_element_26,HLA-B*97,0.34,1788.0,0.08
Zika Virus,vaccine_element_26,HLA-B*09,0.92,1976.0,0.65
Zika Virus,vaccine_element_26,HLA-B*89,0.51,1410.0,0.07
